"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1975,"73","""Morning Side of the Mountain""","Donny & Marie Osmond","20L3Gl72xTH1ZoPmyeL2W3","Donny Osmond",0.699
1975,"74","""Some Kind of Wonderful""","Grand Funk Railroad","6LnjelBSl5xYpdfhfFTJbX","Grand Funk Railroad",0.163
1975,"75","""When Will I See You Again""","The Three Degrees","2k3b3uzuEQJLmSV9BlSZTM","The Three Degrees",0.576
1975,"76","""Get Down, Get Down (Get on the Floor)""","Joe Simon","35xAXJ0EVKTS78XgcEB7GU","Various Artists",0.196
1975,"77","""I'm Sorry""","John Denver","6f8lvWy8uLCQRCC4WMNRGn","John Denver",0.855
1975,"78","""Killer Queen""","Queen","7GqWnsKhMtEW0nzki5o0d8","Queen",0.34
1975,"79","""Shoeshine Boy""","Eddie Kendricks","6EmfTDZ0vrpsWJLj1cbDo6","Various Artists",0.229
1975,"80","""Do It ('Til You're Satisfied)""","B.T. Express","4lnQfs7AmQm6dqCaNMDJLr","B.T. Express",0.115
1975,"81","""Can't Get It Out of My Head""","Electric Light Orchestra","1f94GhohgeVq9SNwyFI691","Electric Light Orchestra",0.748
1975,"82","""Sha-La-La (Make Me Happy)""","Al Green",NA,NA,NA
1975,"83","""Lonely People""","America","5coTcHT7K8O3G97y9T4LOU","America",0.261
1975,"84","""You Got the Love""","Rufus","4y1vMFRC4T2P43ovfvOor7","Rufus Featuring Chaka Khan",0.637
1975,"85","""The Rockford Files""","Mike Post","5ZX5pIdGQaeHxtHHe7v6ku","Mike Post & Larry Carlton",0.0671
1975,"86","""It Only Takes a Minute""","Tavares","5DEy8wVNCdJdAGNsOWxmVQ","Tavares",0.167
1975,"87","""No No Song""","Ringo Starr","2YnZugg0pdEkAtSHR4dwFo","Ringo Starr",0.133
1975,"88","""Junior's Farm""","Paul McCartney & Wings","7ae9EiG4pwpmRbcASnTLrx","Wings",0.00478
1975,"89","""Bungle in the Jungle""","Jethro Tull","6YA1LnVI98LXUmtMKs3fIk","Jethro Tull",0.109
1975,"90","""Long Tall Glasses""","Leo Sayer","2RvPY66qVKMpjrw6en6P5s","Leo Sayer",0.624
1975,"91","""Misty""","Ray Stevens","6oamuJZeT7F13iLwACdQ4X","Ray Stevens",0.187
1975,"92","""Someone Saved My Life Tonight""","Elton John","5i7z7K3YuFCGbYIn6OzrpA","Elton John",0.334
1975,"93","""Bad Blood""","Neil Sedaka & Elton John",NA,NA,NA
1975,"94","""Only Yesterday""","The Carpenters","3vx3Kl3WdbuLwvlHcNTzjw","Carpenters",0.0262
1975,"95","""I'm on Fire""","Dwight Twilley Band","4etVLoQK3znrv8bVC8grsE","Dwight Twilley Band",1.71e-05
1975,"96","""Only You (And You Alone)""","Ringo Starr","03wdJccgmNZt1tdXEpmuov","Ringo Starr",0.218
1975,"97","""Third Rate Romance""","Amazing Rhythm Aces","1oRvLqwJowH9JU0uO1iVzA","Amazing Rhythm Aces",0.714
1975,"98","""You Ain't Seen Nothing Yet""","Bachman–Turner Overdrive","4MNzN6Z9STJbAQItgGBxRl","Bachman-Turner Overdrive",0.00048
1975,"99","""Swearin' to God""","Frankie Valli","6lU9fLdtauyk0bE2HRHyve","Frankie Valli & The Four Seasons",0.288
1975,"100","""Get Dancin'""","Disco-Tex and the Sex-O-Lettes",NA,NA,NA
1976,"1","""Silly Love Songs""","Wings","3bC0IKk62yB6TDaratb1s2","Wings",0.223
1976,"2","""Don't Go Breaking My Heart""","Elton John & Kiki Dee","5pKJtX4wBeby9qIfFhyOJj","Elton John",0.196
1976,"3","""Disco Lady""","Johnnie Taylor","1tMyqN7bNCokdg7jWgKPc8","Johnnie Taylor",0.0568
1976,"4","""December, 1963 (Oh, What a Night)""","The Four Seasons","7ePFDzrnLt3Ynqgy2UFWri","Frankie Valli & The Four Seasons",0.058
1976,"5","""Play That Funky Music""","Wild Cherry","0D7L4pBEGv8ni1cRfaTdMJ","Various Artists",0.124
1976,"6","""Kiss and Say Goodbye""","The Manhattans","4GBq8IPJieQyxwpHfLCxAx","The Manhattans",0.399
1976,"7","""Love Machine""","The Miracles","2j4k2Q2SGEijVhTv8pycv2","The Miracles",0.178
1976,"8","""50 Ways to Leave Your Lover""","Paul Simon","6Qb7gtV6Q4MnUjSbkFcopl","Paul Simon",0.166
